Stream,Year,ChannelTY,Species,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Agency Creek,2015,Pool-Riffle_1,Steelhead,NA,NA,NA,NA,NA,NA
Agency Creek,2015,Pool-Riffle_2,Steelhead,2376.72,538.69,0.0753,0.0171,0.716095209,0.162304911
Agency Creek,2015,Pool-Riffle_3,Steelhead,1494.79,153.71,0.2281,0.0235,0.484849173,0.049857282
Big Eightmile Creek,2015,Pool-Riffle_1,Chinook,668.04,111.71,0.2171,0.0363,0.437485265,0.073156516
Big Eightmile Creek,2015,Pool-Riffle_1,Steelhead,145.2,23.98,0.4545,0.0751,0.095088409,0.015703995
Big Eightmile Creek,2015,Pool-Riffle_2,Steelhead,16,2.67,0.5,0.0833,0.00798005,0.001331671
Big Eightmile Creek,2015,Plane-Bed_3,Steelhead,1062,173.23,0.1751,0.0286,0.389153536,0.063477464
Big Eightmile Creek,2015,Plane-Bed_4,Steelhead,560.77,90.7,0.189,0.0306,0.315571187,0.05104108
Big Springs Creek,2015,Pool-Riffle_1,Chinook,696.6,207.08,0.1163,0.0346,0.090151417,0.026799534
Big Springs Creek,2015,Pool-Riffle_1,Steelhead,9048.91,1146.91,0.0843,0.0107,1.171076744,0.148428886
Big Timber Creek,2015,Meandering_1,Steelhead,1786,1766.9,0.0213,0.021,0.868677043,0.85938716
Big Timber Creek,2015,Island_Braided_2,Steelhead,528.44,119.65,0.1798,0.0407,0.31213231,0.070673361
Big Timber Creek,2015,Confined_3,Steelhead,789.29,205.68,0.2471,0.0331,0.573195352,0.149368192
Big Timber Creek,2015,Pool-Riffle_4,Steelhead,1407,174.79,0.2438,0.0303,0.460556465,0.057214403
Big Timber Creek,2015,Pool-Riffle_5,Steelhead,801.14,156.91,0.156,0.0306,0.389091792,0.076206897
Bohannon Creek,2015,Plane-Bed_1,Steelhead,2344.56,346.36,0.1489,0.022,0.364912062,0.053908171
Bohannon Creek,2015,Pool-Riffle_2,Steelhead,1895.5,321.95,0.1345,0.0228,0.40048595,0.068022396
