Stream,Year,ChannelTY,SH_popEst,SH_popSE,SH_pCapture,SH_pCaptureSE,SH_FishperM,SH_FishperM_SE,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Big Eightmile Creek,2019,Pool-Riffle_1,16,1.9,0.875,0.10390625,0.016129032,0.001915323,182,39.7,0.263736264,0.057529284,0.183467742,0.040020161
Big Springs Creek,2019,Pool-Riffle_1,528,31.8,0.373106061,0.02247116,0.147280335,0.008870293,0,NA,NA,NA,NA,NA
Big Springs Creek,2019,Pool-Riffle_2,383,50.8,0.268929504,0.035670023,0.145406226,0.019286257,449,205.1,0.118040089,0.053919871,0.170463174,0.077866363
Big Timber Creek,2019,Confined_3,316,47.3,0.278481013,0.041684025,0.229484386,0.034350036,0,NA,NA,NA,NA,NA
Big Timber Creek,2019,Island_Braided_2,510,28.2,0.560784314,0.031008074,0.331815224,0.01834743,29,12.6,0.310344828,0.134839477,0.018867925,0.008197788
Big Timber Creek,2019,Meandering_1,208,80,0.177884615,0.06841716,0.101167315,0.038910506,109,54.5,0.091743119,0.04587156,0.053015564,0.026507782
Big Timber Creek,2019,Pool-Riffle_4,1326,163.9,0.19306184,0.023863375,0.328299084,0.040579351,0,NA,NA,NA,NA,NA
Big Timber Creek,2019,Pool-Riffle_5,485,56,0.290721649,0.033567861,0.226635514,0.026168224,0,NA,NA,NA,NA,NA
Bohannon Creek,2019,Plane-Bed_1,1158,146.2,0.146804836,0.018534427,0.418958032,0.052894356,0,NA,NA,NA,NA,NA
Bohannon Creek,2019,Plane-Bed_2,893,145.7,0.187010078,0.030512171,0.308889658,0.050397786,0,NA,NA,NA,NA,NA
Bohannon Creek,2019,Plane-Bed_5,486,61,0.401234568,0.050360717,0.248085758,0.031138336,0,NA,NA,NA,NA,NA
Bohannon Creek,2019,Step-Pool_6,418,62,0.258373206,0.038323298,0.212830957,0.031568228,0,NA,NA,NA,NA,NA
Bohannon Creek,2019,Plane-Bed_3,129,65.5,0.147286822,0.074785169,0.169513798,0.086070959,0,NA,NA,NA,NA,NA
Bohannon Creek,2019,Step-Pool_4,108,35,0.185185185,0.060013717,0.049678013,0.016099356,0,NA,NA,NA,NA,NA
Canyon Creek,2019,Pool-Riffle_1,76,20.5,0.342105263,0.092278393,0.072519084,0.019561069,38,8.8,0.447368421,0.103601108,0.036259542,0.008396947
Hawley Creek,2019,Pool-Riffle_4,129,37.5,0.310077519,0.090138814,0.133264463,0.038739669,0,NA,NA,NA,NA,NA
Hawley Creek,2019,Plane-Bed_1,1114,116.7,0.186714542,0.019559773,0.182742782,0.019143701,0,NA,NA,NA,NA,NA
Hawley Creek,2019,Pool-Riffle_2,1382,79.8,0.37698987,0.021768301,0.376156777,0.021720196,0,NA,NA,NA,NA,NA
Hawley Creek,2019,Plane-Bed_3,206,45.9,0.252427184,0.056244698,0.244365362,0.054448399,0,NA,NA,NA,NA,NA
Hayden Creek,2019,Confined_3,630,73.3,0.341269841,0.039706475,0.287146764,0.033409298,0,NA,NA,NA,NA,NA
Hayden Creek,2019,Island_Braided_1,2186,174.3,0.257090576,0.020499034,0.900329489,0.071787479,1500,362.5,0.118666667,0.028677778,0.617792422,0.149299835
Hayden Creek,2019,Island_Braided_2,1081,88.5,0.312673451,0.02559815,0.510146295,0.041764983,499,145.6,0.136272545,0.039762089,0.235488438,0.068711656
Hayden Creek,2019,Plane-Bed_4,527,92.5,0.225806452,0.03963396,0.302005731,0.053008596,202,49.8,0.287128713,0.070787178,0.115759312,0.028538682
Kenney Creek,2019,Plane-Bed_1,3176,234.8,0.209697733,0.015502842,1.462920313,0.108152925,0,NA,NA,NA,NA,NA
Kenney Creek,2019,Pool-Riffle_2,1148,74,0.352787456,0.022740655,0.320849637,0.020681945,0,NA,NA,NA,NA,NA
Lee Creek,2019,Pool-Riffle_1,60,7.1,0.7,0.082833333,0.04101162,0.004853042,235,29,0.531914894,0.065640561,0.160628845,0.019822283
Little Springs Creek,2019,Meandering_1,261,45.4,0.318007663,0.055316275,0.062365591,0.010848268,11,3,0.454545455,0.123966942,0.002628435,0.000716846
Little Springs Creek,2019,Meandering_2,81,17.1,0.382716049,0.08079561,0.045892351,0.009688385,0,NA,NA,NA,NA,NA
Lower Lemhi River,2019,Island_Braided_3,1659,420.7,0.099457505,0.02522108,0.298703637,0.075747209,2603,623,0.07107184,0.017010279,0.468671228,0.112171408
Lower Lemhi River,2019,Island_Braided_4,4216,503.8,0.125948767,0.015050519,0.618272474,0.073881801,0,NA,NA,NA,NA,NA
Lower Lemhi River,2019,Island_Braided_5,221,97.1,0.162895928,0.071571016,0.067357513,0.029594636,0,NA,NA,NA,NA,NA
Pratt Creek,2019,Plane-Bed_1,912,233.9,0.134868421,0.034589609,0.481266491,0.123430079,0,NA,NA,NA,NA,NA
Pratt Creek,2019,Step-Pool_2,1391,282.8,0.127965492,0.026016277,0.690322581,0.140347395,0,NA,NA,NA,NA,NA
Upper Lemhi River,2019,Island_Braided_2,3189,321.2,0.180620884,0.018192357,0.509099617,0.051277139,4368,608.8,0.100045788,0.013944111,0.697318008,0.097190294
Upper Lemhi River,2019,Meandering_1,1250,59.6,0.408,0.01945344,0.21466598,0.010235274,1988,848.9,0.054325956,0.023197839,0.341404774,0.14578396
