"","Species","Year","n_PITtagged","n_moved","perc_moved"
"1","Bull Trout",2016,2,0,0
"2","Bull Trout",2017,7,2,0.285714285714286
"3","Bull Trout",2018,4,1,0.25
"4","Bull Trout",2019,16,1,0.0625
"5","Chinook",2015,178,1,0.00561797752808989
"6","Chinook",2016,255,2,0.00784313725490196
"7","Chinook",2017,232,0,0
"8","Chinook",2018,496,1,0.00201612903225806
"9","Chinook",2019,320,1,0.003125
"10","Steelhead",2015,291,1,0.00343642611683849
"11","Steelhead",2016,854,3,0.00351288056206089
"12","Steelhead",2017,654,6,0.00917431192660551
"13","Steelhead",2018,498,2,0.00401606425702811
"14","Steelhead",2019,913,5,0.00547645125958379
