Species,Year,SubSite,M,C,R,N,SE,95% LCI,95% UCI,probCap,probCap_SE,SampleLength,FishperM,FishperM_SE
Chinook,2015,AmonsonMC,10,26,0,NA,NA,NA,NA,NA,NA,600,NA,NA
Chinook,2016,AmonsonMC,18,14,0,NA,NA,NA,NA,NA,NA,855,NA,NA
Chinook,2017,AmonsonMC,20,4,0,NA,NA,NA,NA,NA,NA,855,NA,NA
Chinook,2018,AmonsonMC,32,19,2,219,96.7,91,629,0.146118721,0.064519088,855,0.256140351,0.113099415
Chinook,2019,AmonsonMC,42,19,1,429,230,130,838,0.097902098,0.052488304,855,0.501754386,0.269005848
Steelhead,2015,AmonsonMC,63,79,1,2559,1436.4,778,4993,0.024618992,0.01381896,600,4.265,2.394
Steelhead,2016,AmonsonMC,49,53,1,1349,749.4,410,2632,0.036323202,0.02017836,855,1.577777778,0.876491228
Steelhead,2017,AmonsonMC,67,34,0,NA,NA,NA,NA,NA,NA,855,NA,NA
Steelhead,2018,AmonsonMC,18,2,0,NA,NA,NA,NA,NA,NA,855,NA,NA
Steelhead,2019,AmonsonMC,56,26,3,384,153.1,174,963,0.145833333,0.058143446,855,0.449122807,0.179064327
Bull Trout,2019,AmonsonSC1,1,0,0,NA,NA,NA,NA,NA,NA,154,NA,NA
Chinook,2015,AmonsonSC1,13,3,1,27,10.6,15,92,0.481481481,0.189026063,154,0.175324675,0.068831169
Chinook,2017,AmonsonSC1,7,12,0,NA,NA,NA,NA,NA,NA,154,NA,NA
Chinook,2018,AmonsonSC1,1,2,0,NA,NA,NA,NA,NA,NA,154,NA,NA
Chinook,2019,AmonsonSC1,1,2,0,NA,NA,NA,NA,NA,NA,154,NA,NA
Steelhead,2015,AmonsonSC1,7,2,0,NA,NA,NA,NA,NA,NA,154,NA,NA
Steelhead,2017,AmonsonSC1,30,48,6,216,62.5,115,436,0.138888889,0.040187757,154,1.402597403,0.405844156
Steelhead,2018,AmonsonSC1,7,13,0,NA,NA,NA,NA,NA,NA,154,NA,NA
Steelhead,2019,AmonsonSC1,26,11,3,80,27.3,43,194,0.325,0.11090625,154,0.519480519,0.177272727
Chinook,2015,AmonsonSC2,65,19,0,NA,NA,NA,NA,NA,NA,230,NA,NA
Chinook,2016,AmonsonSC2,7,3,0,NA,NA,NA,NA,NA,NA,230,NA,NA
Chinook,2017,AmonsonSC2,11,21,0,NA,NA,NA,NA,NA,NA,230,NA,NA
Chinook,2019,AmonsonSC2,1,15,0,NA,NA,NA,NA,NA,NA,230,NA,NA
Steelhead,2015,AmonsonSC2,50,36,0,NA,NA,NA,NA,NA,NA,230,NA,NA
Steelhead,2016,AmonsonSC2,20,13,2,97,40.2,43,276,0.206185567,0.085450101,230,0.42173913,0.174782609
Steelhead,2017,AmonsonSC2,43,78,5,578,195.6,273,1324,0.074394464,0.025175704,230,2.513043478,0.850434783
Steelhead,2018,AmonsonSC2,2,15,0,NA,NA,NA,NA,NA,NA,230,NA,NA
Steelhead,2019,AmonsonSC2,18,16,2,107,44.8,45,306,0.168224299,0.070434099,230,0.465217391,0.194782609
Bull Trout,2019,EVR1,1,3,0,NA,NA,NA,NA,NA,NA,1680,NA,NA
Chinook,2015,EVR1,54,23,1,659,358.1,200,1286,0.081942337,0.044527391,1680,0.392261905,0.213154762
Chinook,2016,EVR1,21,12,0,NA,NA,NA,NA,NA,NA,1680,NA,NA
Chinook,2017,EVR1,7,6,1,27,11.8,11,96,0.259259259,0.113305898,1680,0.016071429,0.00702381
Chinook,2018,EVR1,2,3,0,NA,NA,NA,NA,NA,NA,1680,NA,NA
Chinook,2019,EVR1,2,4,0,NA,NA,NA,NA,NA,NA,1680,NA,NA
Steelhead,2015,EVR1,392,204,9,8056,2338.8,4454,15749,0.048659384,0.014126684,1680,4.795238095,1.392142857
Steelhead,2016,EVR1,219,186,15,2570,574.2,1597,4378,0.085214008,0.019038865,1680,1.529761905,0.341785714
Steelhead,2017,EVR1,39,60,2,812,381.4,296,1963,0.048029557,0.022559696,1680,0.483333333,0.22702381
Steelhead,2018,EVR1,86,104,5,1522,539.2,720,3481,0.056504599,0.020017924,1680,0.905952381,0.320952381
Steelhead,2019,EVR1,121,99,5,2032,726.6,962,4649,0.059547244,0.021292829,1680,1.20952381,0.4325
Bull Trout,2017,EVR2,2,1,0,NA,NA,NA,NA,NA,NA,650,NA,NA
Bull Trout,2019,EVR2,2,4,1,6,1.9,3,25,0.333333333,0.105555556,650,0.009230769,0.002923077
Chinook,2015,EVR2,31,6,0,NA,NA,NA,NA,NA,NA,650,NA,NA
