Year,SubSite,CK_pCap,CK_pCap_SE,CK_FishperM,CK_FishperM_SE,SH_pCap,SH_pCap_SE,SH_FishperM,SH_FishperM_SE
2015,AmonsonMC,NA,NA,NA,NA,0.024618992,0.01381896,4.265,2.394
2016,AmonsonMC,NA,NA,NA,NA,0.036323202,0.02017836,1.577777778,0.876491228
2017,AmonsonMC,NA,NA,NA,NA,NA,NA,NA,NA
2018,AmonsonMC,0.146118721,0.064519088,0.256140351,0.113099415,NA,NA,NA,NA
2019,AmonsonMC,0.097902098,0.052488304,0.501754386,0.269005848,0.145833333,0.058143446,0.449122807,0.179064327
2015,AmonsonSC1,0.481481481,0.189026063,0.175324675,0.068831169,NA,NA,NA,NA
2017,AmonsonSC1,NA,NA,NA,NA,0.138888889,0.040187757,1.402597403,0.405844156
2018,AmonsonSC1,NA,NA,NA,NA,NA,NA,NA,NA
2019,AmonsonSC1,NA,NA,NA,NA,0.325,0.11090625,0.519480519,0.177272727
2015,AmonsonSC2,NA,NA,NA,NA,NA,NA,NA,NA
2016,AmonsonSC2,NA,NA,NA,NA,0.206185567,0.085450101,0.42173913,0.174782609
2017,AmonsonSC2,NA,NA,NA,NA,0.074394464,0.025175704,2.513043478,0.850434783
2018,AmonsonSC2,NA,NA,NA,NA,NA,NA,NA,NA
2019,AmonsonSC2,NA,NA,NA,NA,0.168224299,0.070434099,0.465217391,0.194782609
2015,EVR1,0.081942337,0.044527391,0.392261905,0.213154762,0.048659384,0.014126684,4.795238095,1.392142857
2016,EVR1,NA,NA,NA,NA,0.085214008,0.019038865,1.529761905,0.341785714
2017,EVR1,0.259259259,0.113305898,0.016071429,0.00702381,0.048029557,0.022559696,0.483333333,0.22702381
2018,EVR1,NA,NA,NA,NA,0.056504599,0.020017924,0.905952381,0.320952381
2019,EVR1,NA,NA,NA,NA,0.059547244,0.021292829,1.20952381,0.4325
2015,EVR2,NA,NA,NA,NA,0.03652641,0.015878688,8.592307692,3.735230769
2016,EVR2,NA,NA,NA,NA,NA,NA,NA,NA
2017,EVR2,NA,NA,NA,NA,0.168032787,0.053715399,0.375384615,0.12
2018,EVR2,NA,NA,NA,NA,0.132220796,0.039479534,1.198461538,0.357846154
2019,EVR2,NA,NA,NA,NA,0.167048055,0.037079317,0.672307692,0.149230769
2016,EVR2-LSC,NA,NA,NA,NA,0.051886792,0.027938101,0.8,0.430754717
2017,EVR2-LSC,0.5,0,0.003773585,0,0.183673469,0.070095793,0.09245283,0.035283019
2018,EVR2-LSC,NA,NA,NA,NA,NA,NA,NA,NA
2019,EVR2-LSC,NA,NA,0,0,NA,NA,NA,NA
2015,EVR3,NA,NA,NA,NA,0.03236715,0.014099256,9.553846154,4.161692308
2016,EVR3,NA,NA,NA,NA,0.232116788,0.040425595,0.575630252,0.100252101
2017,EVR3,NA,NA,NA,NA,0.060585885,0.028881154,1.262184874,0.601680672
2018,EVR3,NA,NA,0,0,0.07505071,0.034663381,0.414285714,0.191344538
2019,EVR3,NA,NA,NA,NA,0.160114367,0.026025738,1.175630252,0.191092437
2019,EVR3-LSC,NA,NA,0,0,NA,NA,NA,NA
2019,EVR3-SSC,NA,NA,NA,NA,0.060542797,0.032761363,0.385979049,0.20886382
2016,EVR4,0.145631068,0.073098313,0.183928571,0.092321429,0.146401985,0.028590164,1.439285714,0.281071429
2017,EVR4,NA,NA,NA,NA,0.102466793,0.037817441,0.941071429,0.347321429
2018,EVR4,NA,NA,NA,NA,0.074468085,0.033966161,0.671428571,0.30625
2019,EVR4,NA,NA,NA,NA,0.098360656,0.045453731,0.980357143,0.453035714
2016,ThorMC,0.030823426,0.017275234,1.476592978,0.82756827,0.141497462,0.023720577,1.024707412,0.171781534
2017,ThorMC,0.039781591,0.018922632,0.833550065,0.396488947,0.065100481,0.018568286,2.297139142,0.65520156
2018,ThorMC,0.14673913,0.018555057,1.076723017,0.136150845,0.109028961,0.021917236,0.763328999,0.153446034
2019,ThorMC,0.032,0.011602773,2.438231469,0.884070221,0.127559977,0.024168473,1.111183355,0.21053316
2019,ThorSC,NA,NA,NA,NA,0.237951807,0.053252468,0.332,0.0743
