SubSite,StreamName,SurveyDateTime,Year,dceType,Species,PitTagID,FishStatus,Tag2RecaptureType,Tag2Type
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,,Dead,,
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Steelhead,3D9.1C2DEFB084,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Steelhead,3D9.1C2DEEBCA3,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.239F872683,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.1C2DEFDB96,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.1C2DEFA78C,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.1C2DEF7326,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.1C2DEF211C,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.239F871C70,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.239F8723BD,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,,Dead,,
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,,Live,,
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Steelhead,3D9.1C2DEF10EB,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Steelhead,3D9.1C2DEF8C8E,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.239F861E54,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.1C2DEF555A,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.1C2DEF06AA,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.1C2DEF7B60,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,3D9.239F8723F9,Live,New Tag,Fin Clip
AmonsonSC2,Lemhi River,6/2/2015,2015,Mark,Chinook,,Dead,,
