PITTagID,Species,Rear,MarkLength,MarkStream,RecapStream,MarkDate,RecapDate,DaystoRecap,Mark,Recapture,Distance,Direction
384.3B23998EBC,Steelhead,W,186,Little Springs Creek,Little Springs Creek,6/13/2013,6/15/2013,2,69181.5801,73142.87546,3961.295358,Upstream
3D9.1C2D678D07,Steelhead,W,163,Big Springs Creek,Big Springs Creek,8/1/2013,8/2/2013,1,91797.88596,88640.42946,3157.456499,Downstream
3D9.1C2D70971F,Steelhead,W,185,Big Springs Creek,Big Springs Creek,8/1/2013,8/2/2013,1,91513.02445,88640.42946,2872.59499,Downstream
3D9.1C2D70A37D,Steelhead,W,165,Big Springs Creek,Big Springs Creek,8/1/2013,8/2/2013,1,91513.02445,88640.42946,2872.59499,Downstream
384.3B23979C0B,Steelhead,W,132,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,112545.0572,115380.3649,2835.307696,Upstream
384.3B2397E306,Steelhead,W,210,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,112545.0572,115380.3649,2835.307696,Upstream
384.3B239816D0,Steelhead,W,222,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,112545.0572,115380.3649,2835.307696,Upstream
384.3B23985A51,Steelhead,W,190,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,112545.0572,115380.3649,2835.307696,Upstream
384.3B2398702C,Steelhead,W,188,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,112545.0572,115380.3649,2835.307696,Upstream
384.3B2398C1B7,Steelhead,W,192,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,112545.0572,115380.3649,2835.307696,Upstream
384.3B2397B572,Steelhead,W,128,Lemhi River,Lemhi River,7/5/2013,7/6/2013,1,91255.10761,88527.1747,2727.93291,Downstream
3DD.007739F67B,Steelhead,W,,Little Springs Creek,Little Springs Creek,6/14/2013,6/16/2013,2,75467.77892,73600.57667,1867.202247,Downstream
384.3B2397AB29,Steelhead,W,191,Big Timber Creek,Big Timber Creek,8/30/2013,9/2/2013,3,114571.949,112901.7671,1670.181948,Downstream
384.3B2397499B,Steelhead,W,240,Little Springs Creek,Little Springs Creek,9/29/2013,10/1/2013,2,69653.97829,71295.6668,1641.688518,Upstream
384.3B2396EFD1,Steelhead,W,134,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,107174.0334,108783.8057,1609.772256,Upstream
384.3B23977AF4,Steelhead,W,180,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,107174.0334,108783.8057,1609.772256,Upstream
384.3B2397F88C,Steelhead,W,184,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,107174.0334,108783.8057,1609.772256,Upstream
384.3B23981C07,Steelhead,W,164,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,107174.0334,108783.8057,1609.772256,Upstream
384.3B239875B0,Steelhead,W,218,Canyon Creek,Canyon Creek,6/23/2013,6/25/2013,2,107174.0334,108783.8057,1609.772256,Upstream
384.3B23984AC4,Steelhead,W,148,Bohannon Creek,Bohannon Creek,9/26/2013,9/28/2013,2,21711.62825,20245.15946,1466.46879,Downstream
384.3B2398167A,Steelhead,W,91,Bohannon Creek,Bohannon Creek,9/26/2013,9/28/2013,2,21708.68985,20245.15946,1463.530391,Downstream
